player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
D. Emmanouilidis,Vejle,"Vejle - Viborg, 0 - 5",1,0,2,50.0,0.0
D. Grétarsson,SønderjyskE,"Brøndby - SønderjyskE, 2 - 0",6,1,7,85.71428571428571,14.285714285714285
D. Grétarsson,SønderjyskE,"Midtjylland - SønderjyskE, 3 - 2",0,0,2,0.0,0.0
D. Grétarsson,SønderjyskE,"Randers - SønderjyskE, 1 - 2",2,0,4,50.0,0.0
D. Grétarsson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",2,2,2,100.0,100.0
D. Grétarsson,SønderjyskE,"SønderjyskE - Lyngby, 1 - 1",3,1,3,100.0,33.33333333333333
D. Grétarsson,SønderjyskE,"SønderjyskE - Viborg, 2 - 2",3,2,6,50.0,33.33333333333333
D. Høegh,Randers,"Brøndby - Randers, 2 - 2",7,3,7,100.0,42.857142857142854
D. Høegh,Randers,"København - Randers, 1 - 1",7,3,8,87.5,37.5
D. Høegh,Randers,"Nordsjælland - Randers, 1 - 1",4,3,5,80.0,60.0
D. Høegh,Randers,"Randers - AaB, 1 - 0",4,1,4,100.0,25.0
D. Høegh,Randers,"Randers - Silkeborg, 0 - 2",5,3,7,71.42857142857143,42.857142857142854
D. Høegh,Randers,"Randers - SønderjyskE, 1 - 2",4,1,5,80.0,20.0
D. Høegh,Randers,"Randers - Viborg, 3 - 1",4,2,6,66.66666666666666,33.33333333333333
D. Høegh,Randers,"Vejle - Randers, 2 - 3",3,1,3,100.0,33.33333333333333
D. Kolinger,Vejle,"Brøndby - Vejle, 2 - 1",2,1,7,28.57142857142857,14.285714285714285
D. Kolinger,Vejle,"Vejle - Randers, 2 - 3",9,4,13,69.23076923076923,30.76923076923077
D. Osorio,Midtjylland,"AGF - Midtjylland, 1 - 1",3,2,3,100.0,66.66666666666666
D. Osorio,Midtjylland,"Midtjylland - AaB, 2 - 0",4,1,7,57.14285714285714,14.285714285714285
D. Osorio,Midtjylland,"Midtjylland - København, 2 - 1",7,1,8,87.5,12.5
D. Osorio,Midtjylland,"Midtjylland - SønderjyskE, 3 - 2",4,1,5,80.0,20.0
D. Osorio,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",False,False,1,0.0,0.0
D. Osorio,Midtjylland,"Silkeborg - Midtjylland, 1 - 3",2,0,6,33.33333333333333,0.0
D. Svensson,Nordsjælland,"AGF - Nordsjælland, 4 - 2",12,4,13,92.3076923076923,30.76923076923077
D. Svensson,Nordsjælland,"Nordsjælland - AaB, 3 - 0",5,1,9,55.55555555555556,11.11111111111111
D. Svensson,Nordsjælland,"Nordsjælland - København, 3 - 2",4,2,7,57.14285714285714,28.57142857142857
D. Svensson,Nordsjælland,"Nordsjælland - Lyngby, 1 - 1",3,0,4,75.0,0.0
D. Svensson,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",4,2,4,100.0,50.0
D. Svensson,Nordsjælland,"Nordsjælland - Randers, 1 - 1",7,1,14,50.0,7.142857142857142
D. Svensson,Nordsjælland,"Silkeborg - Nordsjælland, 4 - 1",True,False,1,100.0,0.0
D. Svensson,Nordsjælland,"Vejle - Nordsjælland, 0 - 1",1,0,2,50.0,0.0
D. Svensson,Nordsjælland,"Viborg - Nordsjælland, 3 - 2",2,1,2,100.0,50.0
D. Vavro,København,"København - Randers, 1 - 1",5,3,6,83.33333333333334,50.0
D. Vavro,København,"København - Viborg, 1 - 1",3,1,5,60.0,20.0
D. Vavro,København,"Lyngby - København, 0 - 2",True,True,1,100.0,100.0
D. Vavro,København,"Nordsjælland - København, 3 - 2",3,1,5,60.0,20.0
D. Vavro,København,"SønderjyskE - København, 0 - 2",True,False,1,100.0,0.0
D. Wass,Brøndby,"AaB - Brøndby, 0 - 4",1,0,4,25.0,0.0
D. Wass,Brøndby,"Brøndby - AGF, 0 - 1",True,True,1,100.0,100.0
D. Wass,Brøndby,"Brøndby - Randers, 2 - 2",6,2,8,75.0,25.0
D. Wass,Brøndby,"Brøndby - SønderjyskE, 2 - 0",2,0,3,66.66666666666666,0.0
D. Wass,Brøndby,"København - Brøndby, 3 - 1",4,3,4,100.0,75.0
D. Wass,Brøndby,"Lyngby - Brøndby, 0 - 2",1,0,3,33.33333333333333,0.0
D. Wass,Brøndby,"Viborg - Brøndby, 3 - 3",3,2,3,100.0,66.66666666666666
D. Wilkins,SønderjyskE,"AGF - SønderjyskE, 4 - 0",True,False,1,100.0,0.0
D. Wilkins,SønderjyskE,"Midtjylland - SønderjyskE, 3 - 2",2,0,4,50.0,0.0
D. Wilkins,SønderjyskE,"Randers - SønderjyskE, 1 - 2",4,1,8,50.0,12.5
D. Wilkins,SønderjyskE,"SønderjyskE - Lyngby, 1 - 1",2,0,7,28.57142857142857,0.0
D. Wilkins,SønderjyskE,"SønderjyskE - Viborg, 2 - 2",True,False,1,100.0,0.0
D. van Bruggen,Vejle,"AGF - Vejle, 5 - 1",2,1,4,50.0,25.0
D. van Bruggen,Vejle,"Lyngby - Vejle, 1 - 0",2,1,3,66.66666666666666,33.33333333333333
D. van Bruggen,Vejle,"Midtjylland - Vejle, 2 - 0",4,2,6,66.66666666666666,33.33333333333333
D. van Bruggen,Vejle,"Vejle - Nordsjælland, 0 - 1",5,2,8,62.5,25.0
D. van Bruggen,Vejle,"Vejle - Silkeborg, 1 - 3",3,1,4,75.0,25.0
D. Čolina,Vejle,"AGF - Vejle, 5 - 1",3,2,4,75.0,50.0
D. Čolina,Vejle,"Brøndby - Vejle, 2 - 1",4,2,6,66.66666666666666,33.33333333333333
D. Čolina,Vejle,"Lyngby - Vejle, 1 - 0",1,0,5,20.0,0.0
D. Čolina,Vejle,"Midtjylland - Vejle, 2 - 0",2,0,6,33.33333333333333,0.0
D. Čolina,Vejle,"Vejle - Nordsjælland, 0 - 1",1,1,5,20.0,20.0
D. Čolina,Vejle,"Vejle - Silkeborg, 1 - 3",3,1,3,100.0,33.33333333333333
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",False,False,1,0.0,0.0
Diogo Gonçalves,København,"København - AGF, 3 - 2",False,False,1,0.0,0.0
