id,player.name,matchId,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263460521,E. Omerovic,5605871,679266,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,56,,,,,touch,[],12.0,73.0,,,,,,['transition_medium'],10.0,5.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460522,E. Omerovic,5605871,679266,Esbjerg U19,5605871,A. Lund Jørgensen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,58,,,,,pass,"['forward_pass', 'long_pass', 'progressive_pass']",16.0,85.0,57.0,71.0,,,,['transition_medium'],10.0,6.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263459966,C. Storch,5605871,769069,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,2,,,,,duel,"['aerial_duel', 'loss', 'recovery']",43.0,29.0,,,,,,['transition_medium'],10.0,7.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460523,A. Lund Jørgensen,5605871,750795,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,2,,,,,duel,"['aerial_duel', 'loss']",57.0,71.0,,,,,,['transition_medium'],10.0,8.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460525,M. Kruse,5605871,765988,Esbjerg U19,5605871,S. Stefánsson,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,3,,,,,interception,"['forward_pass', 'head_pass', 'loss', 'pass', 'pass_to_final_third', 'short_or_medium_pass']",47.0,70.0,67.0,58.0,,,,['transition_medium'],10.0,9.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263459967,S. Stefánsson,5605871,828104,AGF U19,5605871,O. Haugstrup,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,6,,,,,pass,"['long_pass', 'recovery', 'counterpressing_recovery']",33.0,42.0,35.0,50.0,,,,['transition_medium'],2.0,0.0,33.0,42.0,55.0,83.0,AGF U19,
2263459968,O. Haugstrup,5605871,765207,AGF U19,5605871,R. Zwinge,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,9,,,,,pass,"['lateral_pass', 'loss', 'short_or_medium_pass']",35.0,50.0,55.0,83.0,,,,['transition_medium'],2.0,1.0,33.0,42.0,55.0,83.0,AGF U19,
2263460526,R. Zwinge,5605871,766588,Esbjerg U19,5605871,M. Svane,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,12,,,,,pass,"['forward_pass', 'recovery', 'short_or_medium_pass']",45.0,17.0,57.0,11.0,,,,['transition_medium'],9.0,0.0,45.0,17.0,91.0,8.0,Esbjerg U19,
2263460527,M. Svane,5605871,679269,Esbjerg U19,5605871,M. Engsted,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,15,,,,,pass,"['forward_pass', 'short_or_medium_pass']",57.0,11.0,65.0,4.0,,,,['transition_medium'],9.0,1.0,45.0,17.0,91.0,8.0,Esbjerg U19,
2263460528,M. Engsted,5605871,766612,Esbjerg U19,5605871,P. Nielsen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,17,,,,,pass,['short_or_medium_pass'],65.0,4.0,62.0,12.0,,,,['transition_medium'],9.0,2.0,45.0,17.0,91.0,8.0,Esbjerg U19,
2263460529,P. Nielsen,5605871,679653,Esbjerg U19,5605871,M. Svane,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,18,,,,,pass,"['forward_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass']",62.0,12.0,75.0,13.0,,,,['transition_medium'],9.0,3.0,45.0,17.0,91.0,8.0,Esbjerg U19,
2263460532,M. Svane,5605871,679269,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,19,,,,,touch,"['progressive_run', 'carry']",75.0,13.0,,,91.0,21.0,,['transition_medium'],9.0,4.0,45.0,17.0,91.0,8.0,Esbjerg U19,
2263460533,M. Svane,5605871,679269,Esbjerg U19,5605871,,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",13,22,,,,,pass,"['cross', 'cross_blocked', 'touch_in_box']",91.0,21.0,0.0,0.0,,,,['transition_medium'],9.0,5.0,45.0,17.0,91.0,8.0,Esbjerg U19,
