PLAYER_WYID,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
624679,"OB U19 - Silkeborg U19, 2 - 0",2,1,1,50.0,50.0
624679,"Randers U19 - Silkeborg U19, 1 - 0",1,1,1,100.0,100.0
624679,"Silkeborg U19 - Esbjerg U19, 1 - 1 (P)",4,3,1,75.0,25.0
624679,"Silkeborg U19 - Lyngby U19, 2 - 2 (P)",4,2,0,50.0,0.0
624679,"Silkeborg U19 - Nordsjælland U19, 0 - 0 (P)",4,2,0,50.0,0.0
624679,"Silkeborg U19 - Vejle U19, 1 - 1 (P)",3,2,1,66.67,33.33
624679,"Sønderjyske U19 - Silkeborg U19, 1 - 1 (P)",7,6,1,85.71,14.29
624699,"AGF U19 - Randers U19, 5 - 2",1,0,0,0.0,0.0
624699,"AaB U19 - Randers U19, 0 - 3",6,5,2,83.33,33.33
624699,"Horsens U19 - Randers U19, 1 - 0",3,3,1,100.0,33.33
624699,"Lyngby U19 - Randers U19, 2 - 2",4,3,2,75.0,50.0
624699,"Midtjylland U19 - Randers U19, 1 - 2",3,2,1,66.67,33.33
624699,"Nordsjælland U19 - Randers U19, 2 - 0",2,2,1,100.0,50.0
624699,"OB U19 - Randers U19, 0 - 0",7,4,2,57.14,28.57
624699,"Randers U19 - AGF U19, 3 - 2",5,4,2,80.0,40.0
624699,"Randers U19 - AaB U19, 3 - 2",3,1,0,33.33,0.0
624699,"Randers U19 - Brøndby U19, 3 - 2",7,6,1,85.71,14.29
624699,"Randers U19 - København U19, 1 - 1",9,6,3,66.67,33.33
624699,"Randers U19 - Nordsjælland U19, 2 - 1",2,2,2,100.0,100.0
624699,"Randers U19 - Silkeborg U19, 1 - 0",2,1,1,50.0,50.0
624699,"Randers U19 - SønderjyskE U19, 0 - 2",4,4,1,100.0,25.0
624699,"Randers U19 - Vejle U19, 0 - 1",6,3,3,50.0,50.0
624699,"Sønderjyske U19 - Randers U19, 1 - 2",6,4,2,66.67,33.33
624699,"Vejle U19 - Randers U19, 3 - 2",4,4,2,100.0,50.0
624711,"Esbjerg U19 - Randers U19, 1 - 2",3,1,0,33.33,0.0
624711,"Horsens U19 - Randers U19, 1 - 0",3,1,0,33.33,0.0
624711,"København U19 - Randers U19, 5 - 1",6,2,0,33.33,0.0
624711,"Midtjylland U19 - Randers U19, 1 - 2",5,2,1,40.0,20.0
624711,"Randers U19 - Esbjerg U19, 1 - 2",3,1,1,33.33,33.33
624711,"Randers U19 - Horsens U19, 2 - 1",4,3,1,75.0,25.0
624711,"Randers U19 - Midtjylland U19, 1 - 2",3,1,0,33.33,0.0
624711,"Randers U19 - Nordsjælland U19, 2 - 1",5,2,1,40.0,20.0
624711,"Silkeborg U19 - Randers U19, 2 - 0",3,0,0,0.0,0.0
624711,"Sønderjyske U19 - Randers U19, 1 - 2",2,1,0,50.0,0.0
624743,"AGF U19 - OB U19, 2 - 2 (P)",1,0,0,0.0,0.0
624743,"Brøndby U19 - OB U19, 2 - 4",4,0,1,0.0,25.0
624743,"Horsens U19 - OB U19, 0 - 3",4,3,2,75.0,50.0
624743,"København U19 - OB U19, 4 - 0",2,0,0,0.0,0.0
624743,"OB U19 - AaB U19, 4 - 4",2,1,0,50.0,0.0
624743,"OB U19 - Horsens U19, 2 - 0",5,4,0,80.0,0.0
624743,"OB U19 - København U19, 3 - 2",2,1,0,50.0,0.0
